0,1,2,3,4,5,6,7,8,9,10,11,12,13
3967,94,386,243,178,496,6,80,1,17,12,221,116,223
185,3316,95,444,31,30,31,138,11,73,7,133,49,16
163,33,2260,41,879,83,45,6,1,40,58,69,57,34
366,359,194,6264,24,19,3,8,0,24,19,423,243,12
273,16,3030,16,2427,146,33,3,4,9,32,98,66,150
24,29,185,4,86,4254,235,508,96,69,12,9,67,63
1,27,120,2,21,93,2641,172,672,163,29,53,26,13
3,210,9,1,2,67,424,981,117,32,4,170,36,2
1,12,6,1,5,95,751,446,4329,6,13,1,1119,14
1,9,88,8,14,21,560,31,5,4406,17,43,12,0
9,15,198,24,23,6,64,5,6,41,2994,28,27,10
204,80,334,254,70,55,164,36,4,96,69,3012,291,87
38,12,28,164,2,6,1,79,0,12,17,1627,3849,307
155,6,78,14,128,41,8,3,0,10,9,99,532,4603
